Fecha,Tipo
01/05/2009,13.25306
15/05/2009,13.13038
01/06/2009,13.36604
15/06/2009,13.30876667
01/07/2009,13.46847778
15/07/2009,13.29648462
01/08/2009,12.98182
15/08/2009,13.03990909
01/09/2009,13.45181111
15/09/2009,13.39391667
01/10/2009,13.37043
15/10/2009,13.09780833
01/11/2009,13.23052
15/11/2009,12.96739
01/12/2009,12.78875
15/12/2009,12.89995
01/01/2010,12.75674444
15/01/2010,12.88531
01/02/2010,13.02071
15/02/2010,12.8235
01/03/2010,12.64961
15/03/2010,12.49169231
01/04/2010,12.21597778
15/04/2010,12.23140833
01/05/2010,12.57808
15/05/2010,12.92381
01/06/2010,12.81819
15/06/2010,12.66644167
01/07/2010,12.84705556
15/07/2010,12.75885
01/08/2010,12.63392
15/08/2010,12.88198333
01/09/2010,12.96764444
15/09/2010,12.65059167
01/10/2010,12.4638
15/10/2010,12.39809091
01/11/2010,12.26227
15/11/2010,12.38385455
01/12/2010,12.40284
15/12/2010,12.3806
01/01/2011,12.17363
15/01/2011,12.07244
01/02/2011,12.02587
15/02/2011,12.10254444
01/03/2011,11.99913
15/03/2011,11.99999231
01/04/2011,11.78878
15/04/2011,11.6057
01/05/2011,11.62611
15/05/2011,11.67409091
01/06/2011,11.7657
15/06/2011,11.84280833
01/07/2011,11.6629
15/07/2011,11.66492727
01/08/2011,12.09078
15/08/2011,12.35537692
01/09/2011,12.61596667
15/09/2011,13.46981667
01/10/2011,13.48541
15/10/2011,13.40211818
01/11/2011,13.49157
15/11/2011,13.86160909
01/12/2011,13.65697
15/12/2011,13.89448182
01/01/2012,13.65251111
15/01/2012,13.12724545
01/02/2012,12.73708
15/02/2012,12.8345
01/03/2012,12.74565
15/03/2012,12.71868333
01/04/2012,12.95837778
15/04/2012,13.12991818
01/05/2012,13.28434
15/05/2012,13.93658333
01/06/2012,14.07865
15/06/2012,13.73966364
01/07/2012,13.36132222
15/07/2012,13.352575
01/08/2012,13.19255
15/08/2012,13.17962308
01/09/2012,12.99224444
15/09/2012,12.84933
01/10/2012,12.84483
15/10/2012,12.9393
01/11/2012,13.11653
15/11/2012,13.02634545
01/12/2012,12.83777
15/12/2012,12.87221
01/01/2013,12.7133
15/01/2013,12.66813333
01/02/2013,12.687
15/02/2013,12.7383
01/03/2013,12.6183
15/03/2013,12.37829
01/04/2013,12.20079
15/04/2013,12.2087
01/05/2013,12.09651
15/05/2013,12.47145
01/06/2013,12.78555
15/06/2013,13.12084
01/07/2013,12.92135556
15/07/2013,12.6061
01/08/2013,12.67831
15/08/2013,13.12411667
01/09/2013,13.17356667
15/09/2013,12.91783636
