Fecha,"General","Subyacente","No_subyacente"
1Q Oct 2004,57.64605,61.38055077,47.26119552
2Q Oct 2004,57.74344433,61.45614267,47.41551902
1Q Nov 2004,58.11333559,61.53506318,48.55167888
2Q Nov 2004,58.26098126,61.59336127,48.93624905
1Q Dic 2004,58.34905061,61.70230416,48.96726437
2Q Dic 2004,58.26564375,61.76955384,48.48578984
1Q Ene 2005,58.31434092,61.91758818,48.27082986
2Q Ene 2005,58.30397982,62.01683108,47.9707623
1Q Feb 2005,58.40344638,62.15588301,47.96524742
2Q Feb 2005,58.6034156,62.25972593,48.41704579
1Q Mar 2005,58.72153214,62.35850228,48.58535173
2Q Mar 2005,58.81270982,62.41187,48.77650162
1Q Abr 2005,58.85933476,62.47371028,48.78171221
2Q Abr 2005,59.09401367,62.53386107,49.47648387
1Q May 2005,58.84586533,62.59028628,48.42479204
2Q May 2005,58.81011954,62.65929788,48.11316131
1Q Jun 2005,58.72464047,62.73080358,47.61233196
2Q Jun 2005,58.81892647,62.82281843,47.7119471
1Q Jul 2005,58.98366796,62.88449091,48.14712435
2Q Jul 2005,59.02044986,62.92740428,48.16762675
1Q Ago 2005,59.06293037,62.99029178,48.15593778
2Q Ago 2005,59.0810623,62.99526908,48.20893461
1Q Sep 2005,59.29139262,63.25957455,48.27481021
2Q Sep 2005,59.32662036,63.33160232,48.21185621
1Q Oct 2005,59.43800218,63.4112755,48.40547988
2Q Oct 2005,59.4711577,63.48205808,48.33912456
1Q Nov 2005,59.86902392,63.54894436,49.61033326
2Q Nov 2005,59.89648084,63.60556728,49.55913003
1Q Dic 2005,60.14514723,63.72669096,50.14448997
2Q Dic 2005,60.35495949,63.78709381,50.7477593
1Q Ene 2006,60.54767595,63.85506463,51.26814378
2Q Ene 2006,60.65957582,63.93637734,51.46026001
1Q Feb 2006,60.70205633,64.06666882,51.26906437
2Q Feb 2006,60.69065912,64.14245299,51.02725678
1Q Mar 2006,60.71552576,64.27498674,50.76794076
2Q Mar 2006,60.82949786,64.44247074,50.73827485
1Q Abr 2006,60.84503951,64.5713286,50.45428507
2Q Abr 2006,60.87767697,64.58298831,50.54292432
1Q May 2006,60.57979536,64.62032807,49.36096781
2Q May 2006,60.60155367,64.70859778,49.20628806
1Q Jun 2006,60.64610639,64.82026503,49.07198063
2Q Jun 2006,60.64040779,64.89935433,48.84137266
1Q Jul 2006,60.7771743,65.0011737,49.07051307
2Q Jul 2006,60.84141312,65.05386474,49.16394775
1Q Ago 2006,61.02169626,65.13657016,49.60065577
2Q Ago 2006,61.21752104,65.14507526,50.29054483
1Q Sep 2006,61.58482202,65.45157911,50.81604084
2Q Sep 2006,61.88840224,65.54273705,51.6786702
1Q Oct 2006,62.06298677,65.61641621,52.11937243
2Q Oct 2006,61.95056884,65.68056764,51.54044341
1Q Nov 2006,62.26761849,65.7667504,52.4660975
2Q Nov 2006,62.39661418,65.87422529,52.65011887
1Q Dic 2006,62.63750974,66.05860253,53.03983449
2Q Dic 2006,62.7473374,66.10334259,53.3200641
1Q Ene 2007,62.95455939,66.31651297,53.51070139
2Q Ene 2007,63.07785648,66.45899169,53.58203119
1Q Feb 2007,63.16696193,66.600846,53.53003899
2Q Feb 2007,63.21824938,66.67970564,53.5074145
1Q Mar 2007,63.26953682,66.77277727,53.44821644
2Q Mar 2007,63.38920752,66.90053498,53.54532081
1Q Abr 2007,63.25658545,66.92774545,52.99178131
2Q Abr 2007,63.32600481,67.00421234,53.04127883
1Q May 2007,63.00170239,67.06976602,51.68807734
2Q May 2007,62.96336633,67.12709501,51.39624715
1Q Jun 2007,63.01517182,67.23414711,51.30243408
